id,name,category,leetcode_url,leetcode_difficulty,status,first_completed,last_reviewed,next_review,review_count,difficulty_history,notes
112,Longest Common Subsequence,2-D Dynamic Programming,https://leetcode.com/problems/longest-common-subsequence/,Medium,under_review,2025-09-18T04:23:35.448Z,2025-09-18T04:23:35.448Z,2025-09-18T07:00:00.000Z,1,hard,
113,Best Time to Buy And Sell Stock With Cooldown,2-D Dynamic Programming,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,Medium,not_started,,,0,0,,
114,Coin Change II,2-D Dynamic Programming,https://leetcode.com/problems/coin-change-2/,Medium,not_started,,,0,0,,
115,Target Sum,2-D Dynamic Programming,https://leetcode.com/problems/target-sum/,Medium,not_started,,,0,0,,
116,Interleaving String,2-D Dynamic Programming,https://leetcode.com/problems/interleaving-string/,Medium,not_started,,,0,0,,
117,Longest Increasing Path In a Matrix,2-D Dynamic Programming,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,Hard,not_started,,,0,0,,
118,Distinct Subsequences,2-D Dynamic Programming,https://leetcode.com/problems/distinct-subsequences/,Hard,not_started,,,0,0,,
119,Edit Distance,2-D Dynamic Programming,https://leetcode.com/problems/edit-distance/,Hard,not_started,,,0,0,,
120,Burst Balloons,2-D Dynamic Programming,https://leetcode.com/problems/burst-balloons/,Hard,not_started,,,0,0,,
121,Regular Expression Matching,2-D Dynamic Programming,https://leetcode.com/problems/regular-expression-matching/,Hard,not_started,,,0,0,,
122,Maximum Subarray,Greedy,https://leetcode.com/problems/maximum-subarray/,Easy,under_review,2025-09-08T00:31:01.411Z,2025-09-08T00:31:01.411Z,2025-09-08T07:00:00.000Z,1,hard,"Had to think about it, wrong approach at first"
123,Jump Game,Greedy,https://leetcode.com/problems/jump-game/,Medium,under_review,2025-09-08T00:42:18.500Z,2025-09-16T05:36:10.568Z,2025-09-18T07:00:00.000Z,2,"easy,easy",
124,Jump Game II,Greedy,https://leetcode.com/problems/jump-game-ii/,Medium,under_review,2025-09-08T01:05:35.545Z,2025-09-15T05:48:12.542Z,2025-09-17T07:00:00.000Z,2,"hard,easy","Tricky, took longer than it should"
125,Gas Station,Greedy,https://leetcode.com/problems/gas-station/,Medium,under_review,2025-09-15T05:42:51.900Z,2025-09-16T05:34:13.929Z,2025-09-18T07:00:00.000Z,2,"hard,easy",Had to think about it for a while
126,Hand of Straights,Greedy,https://leetcode.com/problems/hand-of-straights/,Medium,under_review,2025-09-15T06:25:53.099Z,2025-09-16T05:34:00.237Z,2025-09-18T07:00:00.000Z,2,"hard,easy","Couldn't figure out strategy on my own, code was easy"
127,Merge Triplets to Form Target Triplet,Greedy,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,Medium,not_started,,,0,0,,
128,Partition Labels,Greedy,https://leetcode.com/problems/partition-labels/,Medium,not_started,,,0,0,,
129,Valid Parenthesis String,Greedy,https://leetcode.com/problems/valid-parenthesis-string/,Medium,not_started,,,0,0,,
130,Insert Interval,Intervals,https://leetcode.com/problems/insert-interval/,Medium,under_review,2025-09-07T19:49:42.871Z,2025-09-16T04:43:19.165Z,2025-09-18T07:00:00.000Z,2,"hard,easy",
131,Merge Intervals,Intervals,https://leetcode.com/problems/merge-intervals/,Medium,under_review,2025-09-07T20:11:09.448Z,2025-09-15T06:52:38.902Z,2025-09-17T07:00:00.000Z,2,"easy,easy",
132,Non Overlapping Intervals,Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,under_review,2025-09-16T05:06:12.122Z,2025-09-28T17:44:26.579Z,2025-10-01T07:00:00.000Z,2,"hard,easy",
133,Meeting Rooms,Intervals,https://leetcode.com/problems/meeting-rooms/,Medium,not_started,,,0,0,,
134,Meeting Rooms II,Intervals,https://leetcode.com/problems/meeting-rooms-ii/,Medium,not_started,,,0,0,,
135,Minimum Interval to Include Each Query,Intervals,https://leetcode.com/problems/minimum-interval-to-include-each-query/,Hard,not_started,,,0,0,,
136,Rotate Image,Math & Geometry,https://leetcode.com/problems/rotate-image/,Medium,not_started,,,0,0,,
137,Spiral Matrix,Math & Geometry,https://leetcode.com/problems/spiral-matrix/,Medium,not_started,,,0,0,,
138,Set Matrix Zeroes,Math & Geometry,https://leetcode.com/problems/set-matrix-zeroes/,Medium,not_started,,,0,0,,
139,Happy Number,Math & Geometry,https://leetcode.com/problems/happy-number/,Easy,not_started,,,0,0,,
140,Plus One,Math & Geometry,https://leetcode.com/problems/plus-one/,Easy,not_started,,,0,0,,
141,"Pow(x, n)",Math & Geometry,https://leetcode.com/problems/powx-n/,Medium,under_review,2025-09-26T07:24:43.733Z,2025-09-26T07:24:43.733Z,2025-09-27T07:00:00.000Z,1,medium,
142,Multiply Strings,Math & Geometry,https://leetcode.com/problems/multiply-strings/,Hard,not_started,,,0,0,,
143,Detect Squares,Math & Geometry,https://leetcode.com/problems/detect-squares/,Medium,not_started,,,0,0,,
144,Single Number,Bit Manipulation,https://leetcode.com/problems/single-number/,Easy,not_started,,,0,0,,
145,Number of 1 Bits,Bit Manipulation,https://leetcode.com/problems/number-of-1-bits/,Easy,not_started,,,0,0,,
146,Counting Bits,Bit Manipulation,https://leetcode.com/problems/counting-bits/,Easy,not_started,,,0,0,,
147,Reverse Bits,Bit Manipulation,https://leetcode.com/problems/reverse-bits/,Easy,not_started,,,0,0,,
148,Missing Number,Bit Manipulation,https://leetcode.com/problems/missing-number/,Easy,not_started,,,0,0,,
149,Sum of Two Integers,Bit Manipulation,https://leetcode.com/problems/sum-of-two-integers/,Hard,not_started,,,0,0,,
150,Reverse Integer,Bit Manipulation,https://leetcode.com/problems/reverse-integer/,Easy,not_started,,,0,0,,
151,Vertical Order Traversal of a Binary Tree,Trees,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/description/,,not_started,,,,0,,
152,Maximum Population Year,Arrays & Hashing,https://leetcode.com/problems/maximum-population-year,,under_review,2025-09-23T03:16:11.701Z,2025-09-28T17:40:05.439Z,2025-10-01T07:00:00.000Z,2,"medium,easy",
153,Remove K Digits,Stack,https://leetcode.com/problems/remove-k-digits/,,under_review,2025-09-23T07:21:05.175Z,2025-09-23T07:21:05.175Z,2025-09-24T07:00:00.000Z,1,medium,
154,Capacity To Ship Packages Within D Days,Binary Search,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,,not_started,,,,0,,
155,Valid Perfect Square,Binary Search,https://leetcode.com/problems/valid-perfect-square,,under_review,2025-09-25T04:21:24.383Z,2025-09-25T04:21:24.383Z,2025-09-25T07:00:00.000Z,1,easy,
156,Subarray Sum Equals K,Arrays & Hashing,https://leetcode.com/problems/subarray-sum-equals-k/,,under_review,2025-09-28T17:35:20.111Z,2025-09-28T17:35:20.111Z,2025-09-29T07:00:00.000Z,1,hard,
157,Network Delay Time,Graphs,https://leetcode.com/problems/network-delay-time,,not_started,,,,0,,
158,Minimum Window Substring,Arrays & Hashing,https://leetcode.com/problems/minimum-window-substring,,not_started,,,,0,,
159,Longest Consecutive Sequence,Arrays & Hashing,https://leetcode.com/problems/longest-consecutive-sequence,,under_review,2025-09-27T05:48:58.056Z,2025-09-28T23:05:13.125Z,2025-10-01T07:00:00.000Z,2,"medium,easy",
160,Valid Palindrome Ii,Arrays & Hashing,https://leetcode.com/problems/valid-palindrome-ii,,under_review,2025-09-28T04:05:01.998Z,2025-09-28T17:40:33.727Z,2025-10-01T07:00:00.000Z,2,"medium,medium",
161,Maximum Sum Of Distinct Subarrays With Length K,Arrays & Hashing,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,,under_review,2025-09-28T07:39:32.954Z,2025-09-28T07:39:32.954Z,2025-09-29T07:00:00.000Z,1,easy,
162,Product Of Array Except Self,Arrays & Hashing,https://leetcode.com/problems/product-of-array-except-self,,under_review,2025-09-28T23:04:09.124Z,2025-09-28T23:04:09.124Z,2025-09-29T07:00:00.000Z,1,easy,
163,Maximum Size Subarray Sum Equals K,Arrays & Hashing,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k,,under_review,2025-09-28T23:43:59.621Z,2025-09-28T23:43:59.621Z,2025-09-29T07:00:00.000Z,1,medium,
164,Subarray Sums Divisible By K,Arrays & Hashing,https://leetcode.com/problems/subarray-sums-divisible-by-k/,,under_review,2025-09-29T00:22:52.532Z,2025-09-29T00:22:52.532Z,2025-09-29T07:00:00.000Z,1,medium,
